Emotions,Paths
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-03-02-01-01-02.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-03-02-01-02-02.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-03-02-02-01-02.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-03-02-02-02-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-01-01-01-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-01-01-02-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-01-02-01-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-01-02-02-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-02-01-01-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-02-01-02-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-02-02-01-02.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-04-02-02-02-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-01-01-01-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-01-01-02-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-01-02-01-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-01-02-02-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-02-01-01-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-02-01-02-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-02-02-01-02.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-05-02-02-02-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-01-01-01-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-01-01-02-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-01-02-01-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-01-02-02-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-02-01-01-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-02-01-02-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-02-02-01-02.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-06-02-02-02-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-01-01-01-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-01-01-02-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-01-02-01-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-01-02-02-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-02-01-01-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-02-01-02-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-02-02-01-02.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-07-02-02-02-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-01-01-01-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-01-01-02-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-01-02-01-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-01-02-02-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-02-01-01-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-02-01-02-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-02-02-01-02.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_02//03-01-08-02-02-02-02.wav
neutral,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-01-01-01-01-03.wav
neutral,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-01-01-01-02-03.wav
neutral,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-01-01-02-01-03.wav
neutral,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-01-01-02-02-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-01-01-01-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-01-01-02-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-01-02-01-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-01-02-02-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-02-01-01-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-02-01-02-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-02-02-01-03.wav
calm,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-02-02-02-02-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-01-01-01-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-01-01-02-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-01-02-01-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-01-02-02-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-02-01-01-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-02-01-02-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-02-02-01-03.wav
happy,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-03-02-02-02-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-01-01-01-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-01-01-02-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-01-02-01-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-01-02-02-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-02-01-01-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-02-01-02-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-02-02-01-03.wav
sad,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-04-02-02-02-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-01-01-01-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-01-01-02-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-01-02-01-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-01-02-02-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-02-01-01-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-02-01-02-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-02-02-01-03.wav
angry,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-05-02-02-02-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-01-01-01-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-01-01-02-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-01-02-01-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-01-02-02-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-02-01-01-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-02-01-02-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-02-02-01-03.wav
fearful,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-06-02-02-02-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-01-01-01-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-01-01-02-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-01-02-01-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-01-02-02-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-02-01-01-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-02-01-02-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-02-02-01-03.wav
disgust,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-07-02-02-02-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-01-01-01-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-01-01-02-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-01-02-01-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-01-02-02-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-02-01-01-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-02-01-02-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-02-02-01-03.wav
surprised,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_03//03-01-08-02-02-02-03.wav
neutral,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_04//03-01-01-01-01-01-04.wav
neutral,C:/Users/hp/Downloads/Speech-Emotion-Recognization-master/Speech-Emotion-Recognization-master/dataset/Actor_04//03-01-01-01-01-02-04.wav
